#timestamp,left_gaze_x,left_gaze_y,left_position_x,left_position_y,left_position_z,left_pupil,right_gaze_x,right_gaze_y,right_position_x,right_position_y,right_position_z,right_pupil,click_count
1467879539.975662,1792.631571,1150.136820,-52.223945,-28.191224,518.727687,2.924762,1868.969737,1054.789479,4.737768,-30.842011,571.449340,3.385526,2
1467879539.992305,1808.911969,1152.912087,-52.266082,-28.147824,520.193548,2.922685,1880.480003,1052.179011,4.904788,-30.947619,573.731801,3.383245,2
1467879540.008981,1805.684358,1154.265501,-52.084384,-28.058703,519.616778,2.927641,1882.747215,1047.927402,5.073711,-31.039143,575.792878,3.381075,2
1467879540.025589,1811.533503,1154.612733,-51.956963,-28.010274,519.423990,2.922109,1869.862552,1056.773127,5.173704,-30.777871,570.897843,3.374558,2
1467879540.042259,1818.625587,1155.034284,-51.809378,-27.965472,519.308124,2.920622,1870.529577,1047.684903,5.392818,-30.911264,572.460471,3.382183,2
1467879540.058911,1816.298437,1157.855629,-51.710035,-27.932525,519.116081,2.921408,1872.085183,1047.791751,5.484744,-30.869432,571.375226,3.375713,2
1467879540.075584,1819.935270,1152.394043,-51.525959,-27.725878,517.877025,2.914080,1881.714055,1053.703744,5.614335,-30.936779,573.630342,3.376487,2
1467879540.092339,1869.479342,1143.729191,-52.418403,-28.067688,526.647061,2.926928,1878.879558,1027.326570,5.677462,-30.767769,573.169193,3.382469,2
1467879540.108936,1906.149396,1138.400733,-52.868475,-28.172581,531.779342,2.939656,1887.258537,1047.461917,5.771474,-30.636010,573.253104,3.380932,2
1467879540.125579,1904.254747,1132.759709,-52.819065,-27.994091,531.861923,2.957373,1887.633209,1046.826516,5.848366,-30.389498,571.526083,3.382896,2
1467879540.142241,1925.554419,1138.497661,-53.115662,-27.973259,535.719166,2.966385,1880.864797,1040.187188,5.935376,-30.105909,569.544037,3.385153,2
1467879540.158935,1818.479447,1140.096152,-51.058394,-26.820462,517.074717,2.957543,1889.843118,1030.686002,6.146038,-30.058053,570.624662,3.376738,2
1467879540.175684,1822.084858,1150.832324,-50.918210,-26.667554,516.654989,2.958065,1893.575126,1039.478569,6.332720,-30.090797,572.175199,3.373826,2
1467879540.192190,1929.599597,1134.976972,-52.772823,-27.682847,535.798286,2.981578,1892.160752,1041.067110,6.475821,-30.107590,572.037351,3.389070,2
1467879540.208919,1959.024581,1124.898032,-52.860038,-27.698530,537.230157,2.999610,1900.210383,1039.055285,6.624571,-30.133738,572.256165,3.386395,2
1467879540.225616,1969.575821,1138.634918,-52.719789,-27.517626,536.430241,3.013635,1895.390185,1039.948800,6.666358,-29.935172,569.197258,3.395465,2
1467879540.242253,1852.308183,1146.192273,-50.448571,-26.224330,514.961094,3.007986,1892.794930,1042.257964,6.787270,-29.962899,570.989071,3.405412,2
1467879540.258855,1831.998191,1153.306777,-50.160970,-25.921065,512.901127,2.998934,1894.437766,1058.304479,6.880123,-29.754525,569.067369,3.416776,2
1467879540.275573,1835.506342,1150.311839,-49.828102,-25.603200,510.784392,2.998005,1891.701763,1047.947428,7.067483,-29.571705,567.196929,3.419724,2
1467879540.292198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
1467879540.308934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
1467879540.325539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
1467879540.342123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
1467879540.358775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
1467879540.375501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
1467879540.392172,1982.386329,1228.578691,-51.830334,-26.436649,547.926374,2.974828,1908.199717,1179.342628,9.122471,-29.739478,570.779899,3.355885,2
1467879540.408787,1808.316462,1147.408029,-47.862705,-24.425969,510.461905,2.956111,1894.338579,1041.413580,9.464894,-29.684589,571.429237,3.356290,2
1467879540.425603,1811.499358,1131.190539,-47.563082,-24.182483,510.315892,2.954065,1894.149313,1040.974322,9.740234,-29.463054,569.170624,3.359158,3
1467879540.442194,1797.962885,1140.364665,-47.209751,-23.877997,509.770750,2.943015,1886.786799,1042.427079,10.048243,-29.285163,568.240521,3.370062,3
1467879540.458832,1805.989549,1145.959279,-46.925106,-23.549315,509.832962,2.939894,1889.839458,1039.938562,10.353404,-29.111874,569.309544,3.378009,3
1467879540.475448,1796.282310,1146.635326,-46.659597,-23.200780,509.751117,2.938550,1890.114171,1042.966517,10.640077,-28.818685,568.768837,3.394083,3
